Acquisition Date,DIV,Genotype,Dish,Trial,Neuron,Peak Values, Peak Value Stdev,Peak Widths (s),Peak Widths Stdev (s),Mean Amplitude,Stdev Amplitude,Period (s),Stdev Period (s),Peak Rise Rate,Stdev Peak Rise Rate,Peak Fall Rate,Stdev Peak Fall Rate,Frequency (Hz),Stdev Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End,Score
6/1/18,7,WT,1,2,2,NaN,NaN,NaN,NaN,0.023547,0.004224,12.84,0,3.373907,0.554734,-3.314076,0.519287,0.044563,0,33343.59,30779.848,32448.06276,498.51766,266.85,-262.461,0.253231,78.822228,31088.834,32607.967,1
6/1/18,7,WT,1,2,3,NaN,NaN,NaN,NaN,0.026485,0.007045,10.88,0,3.476424,0.610631,-3.588257,0.634952,0.074685,0.052849,31401.383,29279.578,30385.8305,366.442218,264.803,-275.115,0.096754,77.668829,29862.781,30443.209,1.5
6/1/18,7,WT,1,2,4,NaN,NaN,NaN,NaN,0.028146,0,11.24,0,4.608239,0.756182,-4.780486,0.817234,NaN,NaN,32529.885,29378.389,31483.42184,793.242949,347.801,-367.646,0.391849,101.058589,29950.486,32301.188,0.5
6/1/18,7,WT,1,2,5,NaN,NaN,NaN,NaN,0.0287,0.005695,2.78,0.528141,4.289614,0.756603,-4.5565,0.775497,0.083805,0.07627,33394.402,30878.441,32551.9755,512.312693,345.965,-369.955,0.239826,95.965935,31843.156,33281.875,1
6/1/18,7,WT,1,2,6,NaN,NaN,NaN,NaN,0.028665,0,6.92,0,3.633975,0.665341,-3.961152,0.608982,NaN,NaN,32278.133,29595.543,31282.24101,587.142302,272.627,-308.415,0.358876,87.146117,29888.977,32041.877,0.5
6/1/18,7,WT,1,2,7,0.186371,0.010503,2.747923,0.675042,0.220338,0.09491,3.05,0.848764,9.722181,1.931774,-4.818907,0.721956,0.098813,0.090695,34844.25,26695.408,30301.93087,2001.135893,649.721,-333.762,0.377129,92.594519,32089.824,34352.223,1.5
6/1/18,7,WT,1,2,8,0.129504,0,2.349799,0,0.116414,0.041717,2.565,0.699204,7.505567,1.671392,-4.35104,0.733866,0.082231,0.064924,28016.176,23764.568,24805.25706,534.010131,427.736,-271.979,-0.284999,71.651852,27214.385,25504.678,3.5
6/1/18,7,WT,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/18,7,WT,1,2,10,NaN,NaN,NaN,NaN,0.059003,0.018935,3.16,0.95331,4.977636,0.782391,-3.975558,0.637508,0.092739,0.084672,24275.85,22203.434,23280.54758,483.201083,300.897,-229.105,0.074056,64.871447,23646.861,24091.125,1.5
6/1/18,7,WT,1,2,11,NaN,NaN,NaN,NaN,0.020067,0.003447,3.613333,1.098605,4.665891,0.763316,-4.604631,0.76649,0.076236,0.079079,24441.408,22751.113,23713.60901,357.958873,275.264,-270.819,0.191857,80.687579,23221.871,24372.824,0
6/1/18,7,WT,1,2,12,NaN,NaN,NaN,NaN,0.123197,0.045965,3.12,1.005584,8.911296,1.860302,-4.106915,0.558465,0.0791,0.063159,28624.488,24768.121,26055.48468,587.402676,499.782,-280.635,-0.248766,69.492655,28420.467,26928.119,3.5
6/1/18,7,WT,1,2,13,0.108544,0,2.740327,0,0.085617,0.013761,3.4,0.909212,13.247682,2.258985,-3.849015,0.616347,0.067934,0.053657,25045.67,22593.312,23431.38281,388.513726,570.289,-226.629,-0.167241,68.090177,24882.324,23879.043,4
6/1/18,7,WT,1,2,14,NaN,NaN,NaN,NaN,0.074494,0.020347,3.68,1.094958,10.54935,2.772887,-4.361296,0.693944,0.07372,0.070931,24837.881,22584.768,23591.17563,398.549738,532.752,-260.1,-0.086796,73.121794,24728.842,24208.154,3
6/1/18,7,WT,1,2,16,0.117506,0,2.335566,0,0.084569,0.028629,2.912,0.858557,11.023866,2.304854,-3.868642,0.641585,0.075493,0.075395,23756.129,21133.273,21737.83366,339.799606,510.369,-216.32,-0.110007,62.364197,22920.662,22260.732,3.5
6/1/18,7,WT,1,2,17,NaN,NaN,NaN,NaN,0.07004,0,26.28,0,4.898394,0.800589,-4.990684,0.763457,NaN,NaN,26478.658,23640.748,24989.86275,647.412207,296.674,-313.065,0.404416,81.678157,23756.123,26182.215,0.5
6/1/18,7,WT,1,3,1,0.361065,0.071076,2.590835,0.593146,0.341606,0.070657,4.2,1.512085,33.394376,4.800115,-4.964426,0.907824,0.035463,0.006219,32264.32,22143.242,23953.44687,1715.302674,1383.059,-279.004,-0.009566,111.416695,24449.348,24391.963,5
6/1/18,7,WT,1,3,2,0.257447,0.062868,3.256732,0.650915,0.255518,0.068012,4.58,1.641625,20.717968,5.280379,-4.530604,0.691118,0.042365,0.009585,31560.926,23771.129,25198.92848,1225.584775,1009.113,-288.684,-0.112508,86.881596,25995.984,25321.051,5
6/1/18,7,WT,1,3,3,0.20595,0.044425,3.272927,0.357699,0.206228,0.046463,3.34,0.740347,12.49019,2.649724,-4.122593,0.649263,0.040695,0.009724,31498.025,25039.119,26299.98201,1018.430398,744.855,-270.344,-0.005855,82.133082,26573.824,26538.701,5
6/1/18,7,WT,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/1/18,7,WT,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/1/18,7,WT,1,3,6,0.219001,0.020004,3.778231,0.464055,0.184008,0.038083,3.79,0.400999,9.568121,1.940934,-5.76663,0.874516,0.042844,0.009192,35385.84,28460.051,30980.00423,1463.026639,685.117,-459.879,0.432284,102.922626,29838.475,32431.746,3.5
6/1/18,7,WT,1,3,7,0.148591,0.019862,3.320864,0.393122,0.126724,0.032975,5.52,2.432447,13.493474,3.48421,-3.691282,0.627992,0.040973,0.010775,33746.828,29015.469,30388.76974,870.889013,837.042,-276.05,0.191009,84.523371,30309.242,31455.104,3
6/1/18,7,WT,1,3,8,0.168164,0.019618,2.175919,0.367093,0.153559,0.027943,6.84,0,11.826668,2.652841,-4.961452,0.860127,0.040807,0.00998,32073.689,26897.258,28139.98574,808.421415,703.736,-345.788,0.25284,99.129474,27590.646,29107.436,4
6/1/18,7,WT,1,3,9,NaN,NaN,NaN,NaN,0.068627,0.018416,9.8,0,6.930101,1.521513,-5.355791,0.732639,0.180714,0.24864,21579.434,19694.795,20188.23049,282.22969,355.349,-282.34,0.009057,74.17172,20371.664,20425.998,4.5
6/1/18,7,WT,1,4,1,0.564235,0.119065,4.592649,0.287637,0.576974,0.110396,4.542857,0.172599,15.688182,3.373846,-4.884172,0.913547,0.048593,0.016154,57227.328,32756.316,42071.82237,6693.491636,1258.059,-398.071,3.505972,135.085831,33421.984,54454.309,3
6/1/18,7,WT,1,4,2,0.309129,0.071823,4.364527,0.359968,0.320096,0.066381,4.405714,0.336594,12.096681,2.780998,-4.924068,0.707629,0.048746,0.016351,37749.531,27414.789,29658.0449,2011.78882,878.426,-358.183,0.329012,106.240139,28274.25,30247.99,4.5
6/1/18,7,WT,1,4,3,0.275752,0.052954,3.252313,0.205857,0.256811,0.049303,2.988571,0.636538,18.923571,5.941383,-4.559612,0.784628,0.044266,0.018939,35664.41,26915.395,28437.38193,1429.257528,1150.211,-319.014,0.298594,95.646936,27519.502,29310.768,4.5
6/1/18,7,WT,1,4,4,0.378591,0,3.157217,0.894791,0.231295,0.091506,3.253333,0.597417,30.423274,8.877484,-4.387898,0.598954,0.035522,0.018674,36537.234,26503.311,28096.09422,1147.858344,1556.3,-316.828,0.399716,89.692668,27017.658,29415.557,4.5
6/1/18,7,WT,1,4,5,0.337476,0,1.314447,0,0.26033,0,2.296,0.533367,28.730543,0,-4.782942,0.738395,0.036555,0.022029,36018.676,26930.334,28471.67478,1252.196397,1237.957,-363.39,0.553531,81.228942,27351.986,30672.619,4
6/1/18,7,WT,1,4,6,0.134419,0.032057,2.507803,0.353789,0.12423,0.040801,2.544,0.496065,7.220992,1.557471,-3.785017,0.565607,0.041201,0.014782,25972.553,22052.311,23903.40829,1059.877639,367.373,-221.522,0.53499,60.030217,22602.115,25811.521,2
